price,host_response_rate,host_acceptance_rate,host_is_superhost,neighbourhood_cleansed,accommodates,bathrooms,bedrooms,beds,guests_included,review_scores_rating,reviews_per_month
107.00,0.90,1.00,t,Cambridgeport,2,1,1,1,2,95,3.4
245.00,N/A,N/A,f,Strawberry Hill,5,2,3,3,4,95,0.06
429.00,1.00,0.99,t,Mid-Cambridge,4,1,2,2,4,90,0.59
225.00,1.00,0.40,f,Neighborhood Nine,4,1,2,2,2,93,0.04
147.00,1.00,0.34,f,Neighborhood Nine,4,1,2,2,2,100,0.01
300.00,1.00,0.64,t,West Cambridge,2,1,1,1,1,99,1.62
225.00,1.00,1.00,f,Wellington-Harrington,5,1,3,4,1,96,5.75
55.00,1.00,0.40,f,Neighborhood Nine,1,2,1,1,1,92,0.09
265.00,1.00,0.77,t,East Cambridge,4,1,2,2,4,98,0.66
150.00,1.00,0.95,t,Strawberry Hill,6,1,3,3,3,98,0.84
94.00,0.80,0.88,f,West Cambridge,1,1,1,1,2,84,0.53
89.00,0.80,0.88,f,West Cambridge,1,1,1,1,1,92,0.38
79.00,1.00,0.80,t,North Cambridge,2,1,1,1,1,98,0.42
149.00,1.00,1.00,t,Cambridgeport,2,1,0,1,2,97,3.15
65.00,1.00,0.95,t,Strawberry Hill,1,1,1,1,1,99,0.61
116.00,1.00,1.00,t,The Port,2,1,1,1,1,95,8.24
115.00,1.00,1.00,t,The Port,1,1.5,1,1,1,96,8.4
65.00,1.00,0.95,t,Strawberry Hill,2,1,1,1,1,97,0.64
160.00,1.00,1.00,t,Agassiz,4,1,2,2,1,95,1.89
55.00,1.00,0.40,f,Neighborhood Nine,1,2,1,1,1,96,0.07
250.00,N/A,0.88,f,Mid-Cambridge,5,1,2,4,1,92,0.28
100.00,1.00,0.50,t,East Cambridge,3,1,1,2,1,96,0.39
250.00,N/A,1.00,f,Cambridgeport,4,1,2,2,1,100,0.18
185.00,0.88,0.78,f,Neighborhood Nine,3,1,2,2,1,90,0.54
99.00,0.83,1.00,t,Riverside,2,1,1,1,1,94,1.54
272.00,0.92,0.57,f,East Cambridge,5,2,2,3,1,93,0.15
337.00,0.92,0.57,f,East Cambridge,5,2,2,3,1,95,0.22
80.00,N/A,N/A,f,Mid-Cambridge,1,1,1,1,1,96,0.17
170.00,1.00,1.00,t,Cambridgeport,4,1,1,1,2,96,3.86
70.00,1.00,0.40,f,Neighborhood Nine,1,1,1,1,1,80,0.07
82.00,0.91,0.72,f,Wellington-Harrington,2,1.5,1,1,1,93,0.44
122.00,1.00,0.34,f,Neighborhood Nine,2,1,1,1,1,100,0.05
140.00,1.00,0.00,f,North Cambridge,2,1,1,1,1,98,1.04
84.00,N/A,0.29,f,The Port,4,1,2,2,1,94,0.5
120.00,0.95,0.98,f,West Cambridge,5,1,1,3,2,91,3.09
350.00,1.00,0.99,t,Cambridgeport,10,2,3,5,5,93,2.27
99.00,1.00,0.99,t,Mid-Cambridge,1,1,1,2,1,99,2.99
275.00,N/A,1.00,t,North Cambridge,5,1,3,3,1,99,0.58
94.00,0.80,0.88,f,West Cambridge,1,1,1,1,2,88,0.56
125.00,1.00,0.62,t,Strawberry Hill,2,1,1,1,1,97,0.32
285.00,1.00,1.00,t,The Port,6,2,3,4,5,96,0.85
279.00,1.00,0.84,t,Agassiz,4,1,2,2,1,96,0.72
278.00,0.92,0.57,f,East Cambridge,3,1,1,2,1,100,0.03
84.00,0.80,0.88,f,West Cambridge,1,1,1,1,1,86,0.44
337.00,0.92,0.57,f,East Cambridge,5,2,2,3,1,91,0.14
220.00,0.92,0.57,f,East Cambridge,3,1,1,2,1,90,0.06
340.00,1.00,1.00,t,The Port,8,2,3,5,6,97,1.61
175.00,1.00,1.00,t,Mid-Cambridge,3,1,1,2,2,94,3.95
220.00,0.92,0.57,f,East Cambridge,3,1,1,2,1,90,0.04
500.00,1.00,1.00,f,West Cambridge,14,2,5,5,8,98,1.13
60.00,1.00,1.00,t,Wellington-Harrington,2,1,1,2,1,91,0.25
145.00,1.00,1.00,t,Mid-Cambridge,2,1,1,1,2,97,4.46
155.00,0.80,0.88,f,West Cambridge,3,1,1,2,2,78,0.79
